seq,lesson_id,stage,stage_name,lesson,visual_kind,visual_status,visual_source,segment_or_module,source_url,use_rule,note
1,DE00-01,00,"Computer, Setup & Learning Foundations","L01 - Files, Folders, Drives and Paths",OFFICIAL_GUIDED,VERIFIED OFFICIAL GUIDE,Microsoft Support — File Explorer in Windows,"Files/folders, navigation, copy/move and organization",https://support.microsoft.com/en-US/Windows/Experience/FileExplorer/file-explorer-in-windows,Use this current Windows guide as a visual companion to the Teaching Book. Do the course folder/path task yourself; no handwritten notes.,Official Windows guide; Teaching Book remains authoritative for the course evidence-folder convention.
2,DE00-02,00,"Computer, Setup & Learning Foundations",L02 - File Extensions and Common Data Files,OFFICIAL_GUIDED,VERIFIED OFFICIAL CURRENT,Microsoft Support — Common file name extensions in Windows,"Windows 10/11: what extensions mean, examples, showing extensions, and why renaming does not convert a format",https://support.microsoft.com/en-gb/windows/common-file-name-extensions-in-windows-da4a4430-8e76-89c5-59f7-1cdbbc75cb01,"Use the current Microsoft guide beside the Teaching Book, then identify .csv/.json/.xlsx/.pdf/.py/.sql/.zip files on your own PC. No handwritten notes.",Official current Windows reference. The course lab remains the practical teacher for data-file handling.
3,DE00-03,00,"Computer, Setup & Learning Foundations","L03 - Download, ZIP, Extract, Copy, Move and Rename",OFFICIAL_GUIDED,VERIFIED OFFICIAL GUIDE,Microsoft Support — Zip and unzip files,"Create ZIP, Extract All, move/rename extracted files",https://support.microsoft.com/en-US/Windows/Experience/Storage-FileManagement/zip-and-unzip-files,"Follow the official Windows steps once, then perform the course ZIP/extract/copy/move/rename task without the guide.",Current Windows 10/11 support page.
4,DE00-04,00,"Computer, Setup & Learning Foundations",L04 - Installing Software Safely,OFFICIAL_GUIDED,VERIFIED OFFICIAL GUIDE,Microsoft Support — Install programs from online sources,Trusted publisher/download/install workflow,https://support.microsoft.com/en-us/windows/apps/how-to-install-programs-from-online-sources-on-windows,Use this as the safety overlay. Install only the tool requested by the current module and verify the publisher/source first.,Official Microsoft support; course-specific install verification remains in the Teaching Book.
5,DE00-05,00,"Computer, Setup & Learning Foundations",L05 - VS Code From Zero,VIDEO_PRIMARY,VERIFIED,Visual Studio Code — Official beginner tutorial,0:00–7:00,https://www.youtube.com/watch?v=B-s71n0dHUk,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",Official VS Code visual orientation; the Teaching Book defines the exact course workspace.
6,DE00-06,00,"Computer, Setup & Learning Foundations",L06 - Terminal Fundamentals,VIDEO_SUPPORT,VERIFIED SUPPORT,VS Code terminal orientation — Tech With Tim,4:40–6:40,https://www.youtube.com/watch?v=ORrELERGIHs,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",Short visual orientation only; the course lab teaches terminal safety and exact commands.
7,DE00-07,00,"Computer, Setup & Learning Foundations",L07 - Errors and Beginner Troubleshooting,BOOK_VISUAL,COURSE-BUILT,Teaching RC2 visual teaching + hands-on lab,,,Use the Teaching Book and guided lab. No generic video is forced here; mastery still requires the independent task.,This lesson is better learned from the Teaching Book + hands-on demonstration than from a generic external video.
8,DE00-08,00,"Computer, Setup & Learning Foundations","L08 - Study Evidence, Attempts and Review Discipline",BOOK_VISUAL,COURSE-BUILT,Teaching RC2 visual teaching + hands-on lab,,,Use the Teaching Book and guided lab. No generic video is forced here; mastery still requires the independent task.,This lesson is better learned from the Teaching Book + hands-on demonstration than from a generic external video.
9,DE01-01,01,Data Foundations + Essential Excel,"What data is: tables, records, fields and data types",VIDEO_SUPPORT,VERIFIED CURRENT VIDEO,Luke Barousse — Data Engineer Bootcamp (2026),4:16:18 Data Modeling & JOINs + 6:57:49 Data Types,https://www.youtube.com/watch?v=ol9_NnC9-cc,Use the mapped chapters as visual reinforcement for tables/fields/types. The Teaching Book supplies the beginner definitions and independent proof.,Current 2026 long-form DE bootcamp; exact chapter starts are published in the video description.
10,DE01-02,01,Data Foundations + Essential Excel,Grain: what one row represents,BOOK_VISUAL,COURSE-BUILT,Teaching RC2 visual teaching + hands-on lab,,,Use the Teaching Book and guided lab. No generic video is forced here; mastery still requires the independent task.,This lesson is better learned from the Teaching Book + hands-on demonstration than from a generic external video.
11,DE01-03,01,Data Foundations + Essential Excel,"Keys, duplicates, NULLs and missing data",VIDEO_SUPPORT,VERIFIED CURRENT VIDEO,Luke Barousse — Data Engineer Bootcamp (2026),4:16:18 Data Modeling & JOINs + 10:16:15 Date/Text/NULL Functions,https://www.youtube.com/watch?v=ol9_NnC9-cc,Watch only the relevant chapter blocks. Teaching Book adds duplicate detection and the course validation task.,"Support source, not a replacement for the course duplicate/NULL exercise."
12,DE01-04,01,Data Foundations + Essential Excel,Data quality dimensions and validation thinking,OFFICIAL_VIDEO_COURSE,VERIFIED OFFICIAL VIDEO,Statistics Canada — Data Quality in Six Dimensions,Full 8:42 beginner video,https://www.statcan.gc.ca/en/wtc/data-literacy/catalogue/892000062020001,"Watch the short official video, then use the Teaching Book to apply quality dimensions to engineering-style validation.",Official government video; beginner-friendly and stable conceptual material.
13,DE01-05,01,Data Foundations + Essential Excel,"Meet Excel: workbook, worksheet, cells and formulas",VIDEO_PRIMARY,VERIFIED,Chandoo — Excel Tutorial for Beginners,1:15–4:09,https://www.youtube.com/watch?v=F7aPazuS8QY,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
14,DE01-06,01,Data Foundations + Essential Excel,"Enter, save and structure tabular data safely",VIDEO_PRIMARY,VERIFIED,Chandoo — Excel Tutorial for Beginners,4:09–8:21,https://www.youtube.com/watch?v=F7aPazuS8QY,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
15,DE01-07,01,Data Foundations + Essential Excel,Sort and filter without damaging data,VIDEO_PRIMARY,VERIFIED,Chandoo — Excel Tutorial for Beginners,11:37–15:46,https://www.youtube.com/watch?v=F7aPazuS8QY,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
16,DE01-08,01,Data Foundations + Essential Excel,Basic formulas and essential functions,VIDEO_PRIMARY,VERIFIED,Chandoo — Excel Tutorial for Beginners,15:46–22:39,https://www.youtube.com/watch?v=F7aPazuS8QY,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
17,DE01-09,01,Data Foundations + Essential Excel,Relative and absolute references,VIDEO_PRIMARY,VERIFIED,Chandoo — Useful Excel concepts,12:35–20:52,https://www.youtube.com/watch?v=VT479YDPB0I,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
